"aeternus, a, um","eternal, undying"
"art, artis f.","artistry, cunning skill"
"auctor, &#x14d;ris m.","author, maker, originator"
"auxilium, i&#x12b; n.","help, aid, assistance"
"coep&#x12b;, isse, ptus","begin, commence"
"dolus, &#x12b; m.","deceit, treachery, fraud"
"&#x113;nsis, is m.","sword, knife"
"exu&#x14d;, ere, u&#x12b;, &#x16b;tus","strip, free, doff"
"f&#x101;s n.","right, justice, divine will"
"fid&#x113;s, e&#x12b; f.","faith, fidelity, trustworthiness, reliance"
"f&#x12b;d&#x16b;cia, ae f.","confidence, reliance, trust"
"ger&#x14d;, ere, gess&#x12b;, gestus","bear, wear"
"Grajus, a, um","Greek"
"hostia, ae f.","victim"
"impius, a, um","impious, disloyal, wicked"
"&#x12b;nstru&#x14d;, ere, str&#x16b;x&#x12b;, str&#x16b;ctus","instruct, construct, build, arrange"
"j&#x16b;s, j&#x16b;ris n.","law, right, oath, justice"
"l&#x113;x, l&#x113;gis f.","law, decree, regulation"
"m&#x101;china, ae f.","machine, engine, device"
"modo","now"
"m&#x14d;l&#x113;s, is f.","mass, structure, burden"
"nefandus, a, um","unutterable, accursed"
"&#x14d;d&#x12b;, isse","hate, loathe, detest"
"Pallas, adis f.","Minerva"
"palma, ae f.","palm"
"patria, ae f.","fatherland, country"
"Pelasgus, a, um","Pelasgian, Greek"
"pr&#x14d;missum, &#x12b; n.","promise, agreement"
"relligi&#x14d;, &#x14d;nis f.","religion, offering"
"repend&#x14d;, ere, &#x12b;, p&#x113;nsus","repay,requite"
"resolv&#x14d;, ere, &#x12b;, sol&#x16b;tus","break free"
"sacr&#x14d;(1)","dedicate, consecrat, hallow"
"\semper","always, ever"
"sp&#x113;s, spe&#x12b; f.","hope, expectation"
"statu&#x14d;, ere, u&#x12b;, &#x16b;tus","set up, establish"
"teg&#x14d;, ere, t&#x113;x&#x12b;, t&#x113;ctus","cover, hide"
"testor, &#x101;r&#x12b;, &#x101;tus","witness, invoke"
"v&#x113;rum, &#x12b; n.","truth, right, reality"
