"&#x101;, ab ,abs                                              ","(away) from, by (abl.)"
"ac, atque                                                     ","and, also; as, than"
"accipi&#x14d;, ere, c&#x113;p&#x12b;, ceptus                  ","receive, accept; learn, hear, conceive"
"Acest&#x113;s, ae [m]                                         ","king of Sicily"
"&#x101;ctus, a, um                                            ","see ago(fourth p.p.)"
"ad                                                            ","to, toward, at, near, about (acc.)"
"adfore; adforem, &#x113;s, et                                 ","see adsum"
"adsum, esse, fu&#x12b;                                        ","be present, assist (dat.)"
"Aen&#x113;&#x101;s, ae, acc. &#x101;n [m]                     ","Trojan prince, son of Venus and Anchises, hero of the Aeneid"
"aequor, oris [n]                                              ","sea, wave; (level) plain"
"age, agite                                                    ","up!, come!, lead on!"
"agmen, inis                                                   ","army, line, troop; course"
"ag&#x14d;, ere, &#x113;g&#x12b;, &#x101;ctus                  ","lead, do, drive, treat, pass, conduct"
"aj&#x14d;, ais, ait; ajunt                                    ","say, speak, assert"
"alius, a, ud                                                  ","other, another, else"
"altus, a, um                                                  ","(on) high, lofty, deep"
"amor, &#x14d;ris [m]                                          ","love, desire, passion"
"arch&#x12b;s&#x113;s, ae, &#x113;n [m]                        ","Trojan prince, father of Aeneas"
"anima, ae []                                                  ","air, breath, life, soul, shade"
"animus, &#x12b; [m]                                           ","soul, spirit, breath, courage; anger, pride; purpose, thought"
"ante                                                          ","before (acc.); sooner, previously"
"ant&#x12b;quus, a, um                                         ","ancient, old, aged, former, of olden times, time-honoured"
"&#x101;ra, ae [f]                                             ","altar"
"arde&#x14d;, &#x113;re, ars&#x12b;, arsus                     ","burn, be eager"
"arma, &#x14d;rum [n]                                          ","arms, equipment, tools"
"arvum, &#x12b; [n]                                            ","plowed land, field, region"
"arx, arcis [f]                                                ","citadel, fort; height, hill"
"at, ast                                                       ","but, yet, however, at least"
"&#x101;ter, tra, trum                                         ","black, gloomy, deadly"
"atque, ac                                                     ","and, also, as than"
"audi&#x14d;, &#x12b;re, &#x12b;v&#x12b; (i&#x12b;), &#x12b;tus","hear (of), hearken"
"aura, ae [f]                                                  ","breeze, air; favor; light"
"aurum, &#x12b;                                                ","gold (object, equipment)"
"aut; aut...aut                                                ","or, either; either...or"
"bellum, &#x12b; [n]                              ","war(fare), combat, fight"
"caelum, &#x12b; []                               ","sky, heaven; weather"
"campus, &#x12b; [m]                              ","plain, field, level surface"
"capi&#x14d;, ere, c&#x113;p&#x12b;, captus       ","take, seize, catch; captivate; deceive; occupy"
"caput, itis [n]                                  ","head; summit; life, person"
"c&#x101;sus, &#x16b;s [m]                        ","chance, (mis)fortune; fall"
"cern&#x14d;, ere, cr&#x113;v&#x12b;, cr&#x113;tus","discern, perceive, understand, decide; fight"
"circum                                           ","around, about, at, near (acc.)"
"cl&#x101;mor, &#x14d;ris [m]                     ","shout, roar, applause"
"classis, is [f]                                  ","fleet, army, ship"
"comes, itis [m]                                  ","comrade, follower"
"conj&#x16b;nx, jugis [m/f]                       ","husband, wife"
"corpus, oris [n]                                 ","body, corpse, form"
"cum (conjunction)                                ","when, while, since, although"
"cum (preposition)                                ","with (abl.)"
"c&#x16b;nctus, a, um                             ","all, whole, entire"
"c&#x16b;ra, ae [f]                               ","care, anxiety, grief; love"
"cursus, &#x16b;                                  ","course, running; haste"
"Danaus, a, um                                                ","Danaan, Greek"
"d&#x113;                                                     ","(down, away) from, of, concerning, according to (abl.)"
"dea, ae [f]                                                  ","goddess"
"deus, &#x12b; [m]                                            ","god, divinity, deity"
"dexter, (e)ra, (e)rum                                        ","right (hand); favorable; F. (substantive) right hand"
"d&#x12b;c&#x14d;, ere, d&#x12b;x&#x12b;, dictus              ","say, speak, tell, call, name, describe, chant"
"dictum, &#x12b; [n]                                          ","word, speech, command"
"D&#x12b;d&#x14d;, &#x14d;nis [f]                             ","legendary founder of and queen of Carthage"
"di&#x113;s, di&#x113;&#x12b; [m]                             ","day, time, season"
"d&#x12b;vus, a, um                                           ","divine, heavenly, deified; (substantive) divinity, god, goddess"
"d&#x14d;, dare, ded&#x12b;, datus                            ","give (forth), grant, allow, bestow' put, place, make"
"domus, &#x16b;s [f]                                          ","house(hold), home, abode; family, race, line"
"d&#x14d;num, &#x12b; [n]                                     ","gift, offering, prize, reward"
"d&#x16b;c&#x14d;, ere, d&#x16b;x&#x12b;, ductus              ","lead, draw (out), protract; produce; think"
"dum                                                          ","while, as long as, until, provided"
"&#x113;, ex                                                  ","out of, from, according to (abl.)"
"&#x113;g&#x12b;                                              ","I (pl. nos, nostrum)(first person pronoun)"
"ego, me&#x12b;                                               ","go, proceed, come"
"e&#x14d;, &#x12b;re, &#x12b;v&#x12b; (i&#x12b;), itus        ","to go"
"equus, &#x12b; [m]                                           ","horse, steed, charger"
